#RUN, #TEST, TOTAL_TIME, ITERATIONS, SINGLE_COMPUTE_TIME
0, 0, 15.016, 920956, 0.0163
0, 1, 15.016, 444244, 0.0338
0, 2, 15.031, 945041, 0.0159
0, 3, 15.03099, 189782, 0.0792
0, 4, 15.016, 1700010, 0.00883
0, 5, 15.031, 531130, 0.0283
0, 6, 15.016, 233400, 0.06433
0, 7, 15.031, 119916, 0.12534
0, 8, 15.03099, 508529, 0.02955
0, 9, 15.016, 392489, 0.03825
0, 10, 15.031, 353751, 0.04249
0, 11, 15.016, 361038, 0.04159
0, 12, 15.031, 99199, 0.15152
0, 13, 15.03099, 328602, 0.04574
0, 14, 15.016, 280843, 0.05346
0, 15, 15.031, 258260, 0.0582
0, 16, 15.016, 299277, 0.05017
0, 17, 15.031, 116780, 0.12871
0, 18, 15.03099, 28913, 0.51986
0, 19, 15.016, 595535, 0.02521
0, 20, 15.031, 169853, 0.08849
0, 21, 15.016, 212671, 0.0706
0, 22, 15.031, 147245, 0.10208
0, 23, 15.03099, 175750, 0.08552
0, 24, 15.016, 28270, 0.53116
0, 25, 15.031, 27071, 0.55524
0, 26, 15.016, 105257, 0.14266
0, 27, 15.031, 36067, 0.41675
0, 28, 15.03099, 18765, 0.80101
0, 29, 15.016, 89848, 0.16712
0, 30, 15.031, 90705, 0.16571
0, 31, 15.016, 13546, 1.10851
0, 32, 15.031, 15020, 1.00073
0, 33, 15.03099, 88120, 0.17057
0, 34, 15.016, 69852, 0.21496
0, 35, 15.031, 69451, 0.21642
0, 36, 15.016, 7222, 2.0792
0, 37, 15.031, 68801, 0.21847
0, 38, 15.03099, 6722, 2.23609
0, 39, 15.016, 7073, 2.123
0, 40, 15.031, 6199, 2.42474
0, 41, 15.016, 35284, 0.42557
0, 42, 15.031, 4213, 3.56776
0, 43, 15.03099, 38172, 0.39377
0, 44, 15.016, 2416, 6.21523
0, 45, 15.031, 2061, 7.29306
0, 46, 15.016, 24446, 0.61425
0, 47, 15.031, 22081, 0.68072
0, 48, 15.03099, 15852, 0.9482
0, 49, 15.016, 1693, 8.86946
0, 50, 15.031, 18013, 0.83445
0, 51, 15.016, 1472, 10.20108
0, 52, 15.031, 16024, 0.93803
0, 53, 15.03099, 16847, 0.8922
0, 54, 15.016, 16044, 0.93592
0, 55, 15.062, 807, 18.66418
0, 56, 15.06299, 2547, 5.91401
0, 57, 15.031, 1290, 11.65193
0, 58, 15.06199, 283, 53.22261
0, 59, 15.016, 549, 27.35154
0, 60, 15.031, 12647, 1.1885
0, 61, 15.016, 11541, 1.3011
0, 62, 15.09299, 367, 41.12534
0, 63, 15.016, 427, 35.16627
0, 64, 15.14, 233, 64.97854
0, 65, 15.03099, 6371, 2.35928
0, 66, 15.016, 329, 45.64133
0, 67, 15.016, 6409, 2.34295
0, 68, 15.031, 395, 38.05316
0, 69, 15.03099, 244, 61.60245
0, 70, 15.141, 314, 48.21974
0, 71, 15.09299, 304, 49.64802
0, 72, 15.016, 4544, 3.30457
0, 73, 15.031, 5342, 2.81374
0, 74, 15.07799, 158, 95.43037
0, 75, 15.016, 3097, 4.84856
0, 76, 15.09399, 73, 206.76712
0, 77, 15.016, 3335, 4.50254
0, 78, 15.047, 78, 192.91025
0, 79, 15.156, 88, 172.22727
0, 80, 15.016, 2429, 6.18196
0, 81, 15.391, 60, 256.51666
0, 82, 15.016, 2893, 5.19045
0, 83, 15.016, 2149, 6.98743
0, 84, 15.016, 1957, 7.67296
0, 85, 17.469, 44, 397.02272
0, 86, 15.016, 1465, 10.24982
0, 87, 23.21799, 21, 1105.61904
0, 88, 15.031, 1690, 8.89408
0, 89, 15.031, 48, 313.14583
0, 90, 15.016, 1330, 11.29022
0, 91, 16.84399, 44, 382.81818
0, 92, 15.031, 3181, 4.72524
0, 93, 15.48399, 32, 483.87499
0, 94, 15.06199, 810, 18.59506
0, 95, 15.047, 837, 17.97729
0, 96, 15.016, 900, 16.68444
0, 97, 15.406, 23, 669.82608
0, 98, 20.891, 20, 1044.55
0, 99, 15.04599, 545, 27.60733
1, 0, 15.016, 439154, 0.03419
1, 1, 15.016, 741842, 0.02024
1, 2, 15.031, 932521, 0.01611
1, 3, 15.016, 533521, 0.02814
1, 4, 15.031, 171908, 0.08743
1, 5, 15.03099, 461118, 0.03259
1, 6, 15.016, 174988, 0.08581
1, 7, 15.031, 173513, 0.08662
1, 8, 15.016, 535429, 0.02804
1, 9, 15.031, 434146, 0.03462
1, 10, 15.03099, 165489, 0.09082
1, 11, 15.016, 440552, 0.03408
1, 12, 15.031, 71246, 0.21097
1, 13, 15.016, 302524, 0.04963
1, 14, 15.031, 126855, 0.11848
1, 15, 15.03099, 257994, 0.05826
1, 16, 15.016, 268077, 0.05601
